"","code","description","unit","mult","freq","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"11","FA794135005.A","Domestic financial sectors; total loans including security repurchase agreements; liability","Currency","1000000","203","-767.0","1535.0","2580.0","3663.0","1787.0","5039.0","1389.0","2307.0","9003.0","9595.0","6757.0","7866.0","23060.0","26158.0","19315.0","-16195.0","27759.0","23060.0","35203.0","50933.0","49283.0","93177.0","42224.0","31185.0","115654.0","113505.0","139662.0","-314.0","80851.0","106954.0","-49006.0","24805.0","129964.0","174309.0","54260.0","229841.0","186145.0","339769.0","209545.0","257418.0","389507.0","268225.0","235791.0","326467.0","610622.0","548752.0","590864.0","880849.0","-160166.0","-1644313.0","-59627.0","202193.0","128350.0","-208202.0","160902.0","17128.0"
"12","FA364190005.A","General government; total liabilities","Currency","1000000","203","17924.0","27843.0","29043.0","26165.0","29855.0","29043.0","31926.0","43933.0","46941.0","36350.0","58120.0","80740.0","71300.0","63828.0","70429.0","146786.0","141509.0","127878.0","148814.0","127395.0","156801.0","173484.0","270072.0","305236.0","321528.0","460273.0","360700.0","287401.0","307832.0","315935.0","375678.0","487297.0","430890.0","433855.0","237683.0","220138.0","259632.0","190993.0","152195.0","138753.0","-139055.0","253993.0","605110.0","834204.0","815445.0","699989.0","533797.0","698174.0","1610843.0","2001702.0","2053890.0","1503682.0","1594700.0","1123592.0","1052206.0","1119890.0"
"13","FA155000905.A","Households and nonprofit organizations; net lending (+) or borrowing (-) (capital account)","Currency","1000000","203","18692.0","26036.0","26639.0","25177.0","31714.0","34226.0","38893.0","50065.0","46851.0","47916.0","71102.0","75091.0","63809.0","83154.0","102200.0","120787.0","92770.0","70986.0","80776.0","95547.0","151423.0","196083.0","232073.0","164012.0","208392.0","159621.0","140591.0","111030.0","147896.0","176713.0","209239.0","255611.0","295587.0","210085.0","149806.0","185405.0","145400.0","131631.0","138060.0","10580.0","5802.0","27958.0","71026.0","41833.0","-25770.0","-228806.0","-138957.0","-8226.0","374172.0","640623.0","607181.0","662284.0","858885.0","447076.0","477771.0","485455.0"
"14","FA265000905.A","Rest of the world; net lending (+) or borrowing (-) (capital account)","Currency","1000000","203","-3172.0","-4212.0","-3800.0","-4947.0","-7468.0","-6158.0","-3808.0","-3484.0","-1532.0","-1602.0","-3718.0","-295.0","4071.0","-8824.0","-5935.0","-19782.0","-7044.0","10978.0","12715.0","1274.0","-8383.0","-3254.0","3413.0","35153.0","90176.0","114449.0","142784.0","154231.0","115856.0","92700.0","82269.0","-2584.0","44296.0","79406.0","115970.0","105472.0","114316.0","129768.0","204739.0","291066.0","404067.0","375829.0","451264.0","517821.0","624232.0","724831.0","804223.0","718029.0","686222.0","382466.0","446613.0","483152.0","461665.0","396605.0","401586.0","0"
"15","FA114123005.A","Nonfinancial noncorporate business; loans; liability","Currency","1000000","203","4776.0","6694.0","7585.0","8670.0","8296.0","9327.0","9684.0","10331.0","10971.0","15318.0","6667.0","22568.0","31385.0","17948.0","37108.0","20353.0","29485.0","42729.0","58395.0","73812.0","63188.0","64716.0","57876.0","71325.0","113664.0","70400.0","67147.0","58036.0","84083.0","48389.0","323.0","-26196.0","-26452.0","-20651.0","14427.0","45349.0","70443.0","101926.0","179018.0","193812.0","192419.0","163479.0","151870.0","73900.0","254742.0","341784.0","415398.0","463248.0","325513.0","-97065.0","-19444.0","-56826.0","175145.0","109108.0","212077.0","318362.0"
"16","FA114090005.A","Nonfinancial noncorporate business; total financial assets","Currency","1000000","203","-399.0","641.0","-98.0","-40.0","908.0","642.0","1051.0","1296.0","-194.0","1975.0","1882.0","9824.0","9986.0","9077.0","4737.0","2691.0","10257.0","17258.0","21793.0","21186.0","13667.0","32839.0","11737.0","28911.0","26537.0","33896.0","26085.0","-5421.0","50941.0","8036.0","1786.0","8044.0","26648.0","27598.0","62446.0","76244.0","94737.0","131016.0","222624.0","185047.0","246758.0","156887.0","78647.0","80474.0","370817.0","437295.0","519868.0","479454.0","97285.0","-117064.0","151962.0","196855.0","301147.0","304700.0","243545.0","340247.0"
"17","FA115000905.A","Nonfinancial noncorporate business; net lending (+) or borrowing (-) (capital account) ","Currency","1000000","203","-4958.0","-5912.0","-8252.0","-9603.0","-9336.0","-12277.0","-11076.0","-10042.0","-12405.0","-14365.0","-12630.0","-19080.0","-22388.0","-27190.0","-15653.0","-10954.0","-12260.0","-23109.0","-31088.0","-43548.0","-22745.0","-46249.0","-25441.0","-7640.0","-44942.0","-51459.0","-43456.0","-39058.0","-31443.0","-39362.0","-20816.0","971.0","-999.0","-5262.0","-25406.0","-19637.0","-39300.0","-46671.0","-51138.0","-61381.0","-69509.0","-48626.0","-54871.0","-56856.0","-72387.0","-68805.0","-77691.0","-71133.0","-47490.0","27035.0","12850.0","-15080.0","-30702.0","-62838.0","-70159.0","-76918.0"
"18","FU107005045.A","Nonfinancial corporate business; statistical discrepancy (IMA)","Currency","1000000","203","9786.0","5554.0","7465.0","11252.0","14829.0","9824.0","14135.0","9238.0","10327.0","9276.0","11692.0","9862.0","1586.0","30563.0","11252.0","52279.0","34148.0","26778.0","45795.0","65648.0","52880.0","19310.0","78192.0","24695.0","1824.0","167814.0","39886.0","44179.0","103881.0","131359.0","16297.0","-14163.0","4540.0","-131693.0","-56264.0","-63065.0","-54376.0","-44557.0","-77904.0","-118465.0","-206752.0","-163979.0","10905.0","43619.0","-54022.0","171156.0","169727.0","181745.0","981501.0","-131236.0","294117.0","788973.0","732083.0","271309.0","225460.0","-11527.0"
"19","FA104035005.A","Nonfinancial corporate business; total loans including security repurchase agreements; asset ","Currency","1000000","203","-492.0","3.0","794.0","961.0","1269.0","1233.0","499.0","57.0","554.0","2557.0","-2464.0","3520.0","2282.0","8066.0","-4235.0","1021.0","3228.0","4732.0","4488.0","5671.0","10465.0","7330.0","3456.0","7186.0","15089.0","9149.0","-652.0","6677.0","24966.0","-12872.0","1039.0","1530.0","7254.0","-3390.0","13134.0","268.0","-9423.0","33217.0","-18398.0","-27677.0","6088.0","-5560.0","6860.0","-13719.0","15422.0","10162.0","-17057.0","-24393.0","-11099.0","-7193.0","182.0","1862.0","-3253.0","-3583.0","12785.0","-134.0"
"20","FA104190005.A","Nonfinancial corporate business; total liabilities","Currency","1000000","203","11883.0","16158.0","15787.0","20334.0","23659.0","35394.0","35436.0","30366.0","49685.0","58081.0","46988.0","57435.0","75855.0","127268.0","100969.0","60938.0","103345.0","147297.0","198385.0","259150.0","223299.0","283871.0","160923.0","156169.0","318754.0","377373.0","188578.0","273120.0","443332.0","347297.0","183799.0","67388.0","161435.0","218505.0","242607.0","392072.0","399912.0","285092.0","617907.0","989050.0","1238344.0","97937.0","88320.0","13448.0","614067.0","965394.0","839138.0","1280950.0","338861.0","-248719.0","487573.0","894301.0","985382.0","926342.0","799034.0","819285.0"
